Year__,Country__,Medal_count_individual,Medal_count_team
1924,Austria,2,1
1924,Belgium,0,1
1924,Canada,0,1
1924,Finland,10,1
1924,France,1,2
1924,Norway,17,0
1924,Sweden,1,1
1924,Switzerland,2,1
1924,United Kingdom,1,3
1924,United States,3,1
1928,Austria,2,2
1928,Belgium,1,0
1928,Canada,0,1
1928,Czechoslovakia,1,0
1928,Finland,4,0
1928,France,0,1
1928,Germany,0,1
1928,Norway,15,0
1928,Sweden,4,1
1928,Switzerland,0,1
1928,United Kingdom,1,0
1928,United States,4,2
1932,Austria,2,0
1932,Canada,6,1
1932,Finland,3,0
1932,France,0,1
1932,Germany,0,2
1932,Hungary,0,1
1932,Norway,10,0
1932,Sweden,3,0
1932,Switzerland,0,1
1932,United States,6,6
1936,Austria,3,1
1936,Canada,0,1
1936,Finland,5,1
1936,France,1,0
1936,Germany,5,1
1936,Hungary,0,1
1936,Norway,14,1
1936,Sweden,6,1
1936,Switzerland,0,3
1936,United Kingdom,1,2
1936,United States,1,3
1948,Austria,8,0
1948,Belgium,0,2
1948,Canada,1,2
1948,Czechoslovakia,0,1
1948,Finland,5,1
1948,France,5,0
1948,Hungary,0,1
1948,Italy,1,0
1948,Norway,9,1
1948,Sweden,9,1
1948,Switzerland,7,3
1948,United Kingdom,2,0
1948,United States,6,3
1952,Austria,8,0
1952,Canada,1,1
1952,Finland,8,1
1952,France,1,0
1952,Germany,4,1
1952,Hungary,0,1
1952,Italy,2,0
1952,Netherlands,3,0
1952,Norway,15,1
1952,Sweden,2,2
1952,Switzerland,0,2
1952,United Kingdom,1,0
1952,United States,7,4
1952,West Germany,0,2
1956,Austria,10,1
1956,Canada,1,2
1956,Finland,5,2
1956,Hungary,0,1
1956,Italy,0,3
1956,Japan,1,0
1956,Norway,4,0
1956,Poland,1,0
1956,Soviet Union,13,3
1956,Sweden,8,2
1956,Switzerland,4,2
1956,Unified Team of Germany,2,0
1956,United States,5,2
1960,Austria,6,0
1960,Canada,2,2
1960,Czechoslovakia,1,0
1960,Finland,6,2
1960,France,3,0
1960,Italy,1,0
1960,Netherlands,2,0
1960,Norway,5,1
1960,Poland,2,0
1960,Soviet Union,18,3
1960,Sweden,6,1
1960,Switzerland,2,0
1960,Unified Team of Germany,7,1
1960,United States,8,2
1964,Austria,9,3
1964,Canada,1,2
1964,Czechoslovakia,0,1
1964,Finland,8,2
1964,France,7,0
1964,Italy,0,4
1964,"Korea, North",1,0
1964,Netherlands,2,0
1964,Norway,15,0
1964,Soviet Union,21,4
1964,Sweden,4,3
1964,Unified Team of Germany,8,1
1964,United Kingdom,0,1
1964,United States,6,0
1968,Austria,9,2
1968,Canada,2,1
1968,Czechoslovakia,3,1
1968,East Germany,4,1
1968,Finland,4,1
1968,France,9,0
1968,Italy,2,2
1968,Netherlands,9,0
1968,Norway,11,3
1968,Romania,0,1
1968,Soviet Union,8,5
1968,Sweden,5,3
1968,Switzerland,5,1
1968,United States,7,0
1968,West Germany,4,3
1972,Austria,5,0
1972,Canada,1,0
1972,Czechoslovakia,2,1
1972,East Germany,10,4
1972,Finland,3,2
1972,France,3,0
1972,Italy,3,2
1972,Japan,3,0
1972,Netherlands,9,0
1972,Norway,10,2
1972,Poland,1,0
1972,Soviet Union,10,6
1972,Spain,1,0
1972,Sweden,4,0
1972,Switzerland,7,3
1972,United States,7,1
1972,West Germany,2,3
1976,Austria,5,1
1976,Canada,3,0
1976,Czechoslovakia,0,1
1976,East Germany,12,7
1976,Finland,4,3
1976,France,1,0
1976,Italy,4,0
1976,Liechtenstein,2,0
1976,Netherlands,6,0
1976,Norway,6,1
1976,Soviet Union,20,7
1976,Sweden,2,0
1976,Switzerland,3,2
1976,United Kingdom,1,0
1976,United States,9,1
1976,West Germany,6,4
1980,Austria,6,1
1980,Bulgaria,1,0
1980,Canada,2,0
1980,Czechoslovakia,1,0
1980,East Germany,15,8
1980,Finland,8,1
1980,France,1,0
1980,Hungary,0,1
1980,Italy,1,1
1980,Japan,1,0
1980,Liechtenstein,4,0
1980,Netherlands,4,0
1980,Norway,8,2
1980,Soviet Union,14,8
1980,Sweden,3,1
1980,Switzerland,3,2
1980,United Kingdom,1,0
1980,United States,11,1
1980,West Germany,4,1
1984,Austria,1,0
1984,Canada,4,0
1984,Czechoslovakia,4,2
1984,East Germany,19,5
1984,Finland,11,2
1984,France,3,0
1984,Italy,2,0
1984,Japan,1,0
1984,Liechtenstein,2,0
1984,Norway,7,2
1984,Soviet Union,16,9
1984,Sweden,6,2
1984,Switzerland,4,1
1984,United Kingdom,0,1
1984,United States,7,1
1984,West Germany,2,2
1984,Yugoslavia,1,0
1988,Austria,9,1
1988,Canada,4,1
1988,Czechoslovakia,2,1
1988,East Germany,20,5
1988,Finland,4,3
1988,France,2,0
1988,Italy,4,1
1988,Japan,1,0
1988,Liechtenstein,1,0
1988,Netherlands,7,0
1988,Norway,3,2
1988,Soviet Union,19,10
1988,Sweden,4,2
1988,Switzerland,13,2
1988,United States,5,1
1988,West Germany,5,3
1988,Yugoslavia,2,1
1992,Austria,18,3
1992,Canada,3,4
1992,China,3,0
